superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,quartier_Ambatoroka,quartier_Analakely,quartier_Andavamamba,quartier_Ankatso,quartier_Ankorondrano,quartier_Isoraka,quartier_Itaosy,quartier_Ivandry,quartier_Mahamasina,score_confort
46,2,0,10,0,10,0,0,1,0,0,0,0,0,0,2
47,1,1,5,0,10,0,0,0,0,0,0,1,0,0,2
15,2,1,15,1,10,1,0,0,0,0,0,0,0,0,4
97,1,1,5,1,0,0,0,0,0,0,0,0,1,0,2
56,2,1,5,0,5,0,0,0,1,0,0,0,0,0,1
69,3,1,10,0,10,1,0,0,0,0,0,0,0,0,3
65,3,0,5,1,10,0,0,0,1,0,0,0,0,0,2
20,4,0,10,1,10,0,0,0,1,0,0,0,0,0,3
58,1,1,5,1,10,1,0,0,0,0,0,0,0,0,3
76,2,0,15,0,10,0,0,0,0,0,1,0,0,0,2
32,1,1,10,0,10,0,0,1,0,0,0,0,0,0,3
43,1,1,0,0,10,1,0,0,0,0,0,0,0,0,2
62,1,1,10,0,10,0,1,0,0,0,0,0,0,0,3
47,2,1,15,0,10,0,0,0,0,0,0,0,1,0,3
66,2,1,15,0,5,0,0,0,0,0,1,0,0,0,2
76,3,1,5,0,10,1,0,0,0,0,0,0,0,0,2
108,2,1,5,1,10,0,0,0,0,0,0,0,0,0,3
91,1,1,10,1,0,1,0,0,0,0,0,0,0,0,3
58,2,1,5,0,5,1,0,0,0,0,0,0,0,0,1
97,2,0,5,0,10,0,0,0,0,0,0,0,0,1,1
58,2,0,10,1,5,0,0,0,0,0,0,0,1,0,2
70,2,1,10,1,5,0,0,0,0,0,0,0,1,0,3
40,1,0,15,1,5,0,0,1,0,0,0,0,0,0,2
92,1,0,15,0,10,1,0,0,0,0,0,0,0,0,2
80,2,0,10,0,0,0,1,0,0,0,0,0,0,0,1
104,2,1,10,1,5,0,0,0,0,0,0,0,0,0,3
26,2,1,10,0,10,1,0,0,0,0,0,0,0,0,3
136,1,0,5,0,5,0,0,0,0,0,0,0,0,1,0
92,1,1,15,1,10,0,0,0,1,0,0,0,0,0,4
69,2,1,15,0,0,1,0,0,0,0,0,0,0,0,2
112,3,0,0,0,10,1,0,0,0,0,0,0,0,0,1
16,2,1,10,1,5,0,0,0,1,0,0,0,0,0,3
27,1,1,5,0,10,0,0,0,0,0,0,0,0,1,2
104,2,0,15,0,5,0,0,0,0,1,0,0,0,0,1
93,3,0,15,0,10,0,0,0,0,0,0,0,1,0,2
38,1,0,15,0,10,0,0,0,0,0,0,0,0,1,2
48,3,1,10,0,10,0,0,0,0,1,0,0,0,0,3
65,3,1,5,0,5,0,0,0,0,0,0,0,1,0,1
43,3,1,0,1,0,0,1,0,0,0,0,0,0,0,2
81,1,1,5,0,5,0,0,0,0,0,1,0,0,0,1
40,4,1,0,0,10,0,0,1,0,0,0,0,0,0,2
39,1,0,5,1,5,0,0,0,0,0,1,0,0,0,1
27,2,1,5,0,5,0,0,0,0,0,1,0,0,0,1
48,2,1,10,0,0,0,0,0,0,1,0,0,0,0,2
61,1,0,10,0,5,0,0,0,1,0,0,0,0,0,1
15,3,1,5,1,10,0,0,0,0,0,1,0,0,0,3
62,1,1,10,0,5,0,0,0,1,0,0,0,0,0,2
39,2,1,15,0,5,0,0,1,0,0,0,0,0,0,2
15,3,1,10,0,10,0,0,0,0,0,0,0,0,0,3
21,3,0,5,0,5,0,0,1,0,0,0,0,0,0,0
77,1,1,0,0,10,0,0,0,0,0,0,0,0,0,2
56,4,1,5,0,5,0,0,0,0,0,0,0,1,0,1
105,2,0,10,0,0,0,0,0,0,0,0,0,1,0,1
89,1,1,15,0,10,0,0,0,0,0,0,1,0,0,3
67,2,1,5,0,10,0,0,0,0,0,0,0,1,0,2
38,1,1,0,1,10,0,0,0,0,1,0,0,0,0,3
81,3,1,10,0,10,0,0,0,0,0,0,0,0,0,3
88,2,1,10,0,5,0,0,0,0,1,0,0,0,0,2
42,1,0,10,0,5,0,0,0,0,0,0,0,0,0,1
44,1,1,10,0,5,0,0,0,0,0,0,1,0,0,2
68,4,1,15,0,10,0,0,0,0,0,1,0,0,0,3
105,2,1,10,0,10,0,0,0,0,0,0,1,0,0,3
94,1,1,15,0,10,1,0,0,0,0,0,0,0,0,3
107,2,0,15,0,10,0,0,0,0,0,1,0,0,0,2
25,2,1,10,0,10,0,0,0,0,0,0,0,0,0,3
111,1,0,15,1,5,0,0,0,0,0,0,0,0,1,2
76,3,1,5,1,10,1,0,0,0,0,0,0,0,0,3
16,1,1,10,0,5,0,1,0,0,0,0,0,0,0,2
84,2,1,15,0,10,0,1,0,0,0,0,0,0,0,3
47,3,1,0,1,10,0,0,0,1,0,0,0,0,0,3
37,2,1,10,0,5,0,0,0,0,0,0,0,0,1,2
68,1,1,5,0,10,0,1,0,0,0,0,0,0,0,2
50,1,1,5,0,5,0,0,0,1,0,0,0,0,0,1
61,3,1,5,1,10,1,0,0,0,0,0,0,0,0,3
79,1,1,10,1,10,0,0,0,0,0,0,0,0,1,4
40,5,1,10,0,10,0,0,1,0,0,0,0,0,0,3
40,2,1,15,1,5,0,0,0,0,0,0,0,0,0,3
30,3,1,5,0,5,0,0,0,0,0,0,0,0,0,1
96,4,1,5,0,5,0,0,0,0,0,0,1,0,0,1
19,1,1,5,1,10,0,0,0,0,0,0,0,0,1,3
15,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0
66,3,0,10,0,10,1,0,0,0,0,0,0,0,0,2
45,1,1,10,1,10,0,0,0,0,0,1,0,0,0,4
79,2,1,10,0,10,0,0,0,0,0,1,0,0,0,3
85,1,1,10,0,5,0,0,0,0,0,1,0,0,0,2
40,2,1,15,0,10,1,0,0,0,0,0,0,0,0,3
62,2,1,15,1,5,0,1,0,0,0,0,0,0,0,3
49,1,1,15,0,5,0,0,0,0,0,1,0,0,0,2
53,3,1,10,0,5,0,0,0,1,0,0,0,0,0,2
60,2,1,5,0,10,1,0,0,0,0,0,0,0,0,2
23,3,1,10,0,5,0,1,0,0,0,0,0,0,0,2
66,3,0,5,1,5,0,0,0,0,0,0,0,0,1,1
51,3,0,5,0,10,0,0,0,0,0,1,0,0,0,1
48,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0
40,1,1,15,0,10,0,0,0,0,1,0,0,0,0,3
58,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44,3,1,0,1,5,0,0,0,0,0,0,0,1,0,2
47,2,1,5,1,10,0,0,0,0,0,0,0,1,0,3
71,3,1,10,0,0,0,0,0,0,0,0,0,1,0,2
15,1,0,5,0,10,1,0,0,0,0,0,0,0,0,1
54,2,1,10,1,5,0,0,0,0,0,1,0,0,0,3
32,4,1,10,1,0,0,0,0,0,0,0,1,0,0,3
59,1,1,0,0,10,1,0,0,0,0,0,0,0,0,2
87,3,1,5,1,5,0,0,0,1,0,0,0,0,0,2
80,1,1,0,1,5,0,0,0,0,1,0,0,0,0,2
60,1,1,10,0,5,0,0,1,0,0,0,0,0,0,2
29,2,1,5,0,0,0,1,0,0,0,0,0,0,0,1
88,1,1,5,0,5,0,0,0,0,0,1,0,0,0,1
18,3,0,15,0,10,0,0,0,0,0,1,0,0,0,2
16,1,1,10,1,0,0,0,0,0,0,0,0,1,0,3
51,2,1,15,0,10,0,0,0,0,0,0,0,0,1,3
15,4,1,5,0,0,0,0,0,0,0,0,0,0,0,1
67,2,1,15,0,5,0,0,0,0,1,0,0,0,0,2
59,3,1,0,1,0,0,0,0,0,0,1,0,0,0,2
37,3,1,10,0,5,0,0,0,0,0,0,0,0,1,2
47,2,1,10,1,10,0,0,0,1,0,0,0,0,0,4
80,2,1,10,0,10,0,0,0,0,0,0,1,0,0,3
56,2,0,15,1,5,0,0,0,0,0,0,0,1,0,2
59,3,1,10,1,5,0,0,0,1,0,0,0,0,0,3
84,1,1,15,1,0,0,0,0,0,0,0,0,0,1,3
38,2,0,10,0,5,0,0,1,0,0,0,0,0,0,1
94,2,1,15,0,10,0,0,0,0,0,0,1,0,0,3
28,4,1,5,0,10,0,0,0,0,1,0,0,0,0,2
35,3,1,10,0,5,0,0,0,1,0,0,0,0,0,2
61,3,1,10,0,5,0,0,0,1,0,0,0,0,0,2
72,1,0,10,0,0,0,0,0,1,0,0,0,0,0,1
49,1,0,0,1,10,0,0,1,0,0,0,0,0,0,2
43,1,1,10,1,10,0,0,0,0,0,0,0,0,0,4
