quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,loyer_mensuel
Andavamamba,46,2,exterieur,voiture,non,bon,515000
Itaosy,47,1,interieur,moto,non,bon,691000
Ambatoroka,15,2,interieur,voiture_avec_parking,oui,bon,1112000
Ivandry,97,1,interieur,moto,oui,mauvais,3009000
Ankatso,56,2,interieur,moto,non,moyen,825000
Ambatoroka,69,3,interieur,voiture,non,bon,1291000
Ankatso,65,3,exterieur,moto,oui,bon,1147000
Ankatso,20,4,exterieur,voiture,oui,bon,1149000
Ambatoroka,58,1,interieur,moto,oui,bon,1356000
Isoraka,76,2,exterieur,voiture_avec_parking,non,bon,2617000
Andavamamba,32,1,interieur,voiture,non,bon,668000
Ambatoroka,43,1,interieur,sans,non,bon,888000
Analakely,62,1,interieur,voiture,non,bon,1664000
Ivandry,47,2,interieur,voiture_avec_parking,non,bon,2877000
Isoraka,66,2,interieur,voiture_avec_parking,non,moyen,2355000
Ambatoroka,76,3,interieur,moto,non,bon,1226000
Alasora,108,2,interieur,moto,oui,bon,1974000
Ambatoroka,91,1,interieur,voiture,oui,mauvais,1355000
Ambatoroka,58,2,interieur,moto,non,moyen,747000
Mahamasina,97,2,exterieur,moto,non,bon,1363000
Ivandry,58,2,exterieur,voiture,oui,moyen,2759000
Ivandry,70,2,interieur,voiture,oui,moyen,3157000
Andavamamba,40,1,exterieur,voiture_avec_parking,oui,moyen,818000
Ambatoroka,92,1,exterieur,voiture_avec_parking,non,bon,1469000
Analakely,80,2,exterieur,voiture,non,mauvais,1429000
Alasora,104,2,interieur,voiture,oui,moyen,1998000
Ambatoroka,26,2,interieur,voiture,non,bon,991000
Mahamasina,136,1,exterieur,moto,non,moyen,1548000
Ankatso,92,1,interieur,voiture_avec_parking,oui,bon,1805000
Ambatoroka,69,2,interieur,voiture_avec_parking,non,mauvais,1238000
Ambatoroka,112,3,exterieur,sans,non,bon,1468000
Ankatso,16,2,interieur,voiture,oui,moyen,876000
Mahamasina,27,1,interieur,moto,non,bon,858000
Ankorondrano,104,2,exterieur,voiture_avec_parking,non,moyen,3138000
Ivandry,93,3,exterieur,voiture_avec_parking,non,bon,3660000
Mahamasina,38,1,exterieur,voiture_avec_parking,non,bon,1061000
Ankorondrano,48,3,interieur,voiture,non,bon,2358000
Ivandry,65,3,interieur,moto,non,moyen,2386000
Analakely,43,3,interieur,sans,oui,mauvais,1303000
Isoraka,81,1,interieur,moto,non,moyen,1947000
Andavamamba,40,4,interieur,sans,non,bon,690000
Isoraka,39,1,exterieur,moto,oui,moyen,1477000
Isoraka,27,2,interieur,moto,non,moyen,1236000
Ankorondrano,48,2,interieur,voiture,non,mauvais,1812000
Ankatso,61,1,exterieur,voiture,non,moyen,1019000
Isoraka,15,3,interieur,moto,oui,bon,1921000
Ankatso,62,1,interieur,voiture,non,moyen,832000
Andavamamba,39,2,interieur,voiture_avec_parking,non,moyen,694000
Alasora,15,3,interieur,voiture,non,bon,1142000
Andavamamba,21,3,exterieur,moto,non,moyen,380000
Alasora,77,1,interieur,sans,non,bon,1377000
Ivandry,56,4,interieur,moto,non,moyen,2547000
Ivandry,105,2,exterieur,voiture,non,mauvais,2760000
Itaosy,89,1,interieur,voiture_avec_parking,non,bon,1286000
Ivandry,67,2,interieur,moto,non,bon,2736000
Ankorondrano,38,1,interieur,sans,oui,bon,2044000
Alasora,81,3,interieur,voiture,non,bon,1580000
Ankorondrano,88,2,interieur,voiture,non,moyen,2725000
Alasora,42,1,exterieur,voiture,non,moyen,885000
Itaosy,44,1,interieur,voiture,non,moyen,779000
Isoraka,68,4,interieur,voiture_avec_parking,non,bon,2819000
Itaosy,105,2,interieur,voiture,non,bon,1409000
Ambatoroka,94,1,interieur,voiture_avec_parking,non,bon,1657000
Isoraka,107,2,exterieur,voiture_avec_parking,non,bon,3070000
Alasora,25,2,interieur,voiture,non,bon,1132000
Mahamasina,111,1,exterieur,voiture_avec_parking,oui,moyen,2037000
Ambatoroka,76,3,interieur,moto,oui,bon,1689000
Analakely,16,1,interieur,voiture,non,moyen,889000
Analakely,84,2,interieur,voiture_avec_parking,non,bon,2112000
Ankatso,47,3,interieur,sans,oui,bon,1007000
Mahamasina,37,2,interieur,voiture,non,moyen,1000000
Analakely,68,1,interieur,moto,non,bon,1395000
Ankatso,50,1,interieur,moto,non,moyen,628000
Ambatoroka,61,3,interieur,moto,oui,bon,1403000
Mahamasina,79,1,interieur,voiture,oui,bon,1775000
Andavamamba,40,5,interieur,voiture,non,bon,1011000
Alasora,40,2,interieur,voiture_avec_parking,oui,moyen,1545000
Alasora,30,3,interieur,moto,non,moyen,1019000
Itaosy,96,4,interieur,moto,non,moyen,1178000
Mahamasina,19,1,interieur,moto,oui,bon,1064000
Itaosy,15,2,exterieur,moto,non,mauvais,289000
Ambatoroka,66,3,exterieur,voiture,non,bon,1247000
Isoraka,45,1,interieur,voiture,oui,bon,2158000
Isoraka,79,2,interieur,voiture,non,bon,2541000
Isoraka,85,1,interieur,voiture,non,moyen,2037000
Ambatoroka,40,2,interieur,voiture_avec_parking,non,bon,1278000
Analakely,62,2,interieur,voiture_avec_parking,oui,moyen,1956000
Isoraka,49,1,interieur,voiture_avec_parking,non,moyen,1903000
Ankatso,53,3,interieur,voiture,non,moyen,872000
Ambatoroka,60,2,interieur,moto,non,bon,909000
Analakely,23,3,interieur,voiture,non,moyen,1130000
Mahamasina,66,3,exterieur,moto,oui,moyen,1470000
Isoraka,51,3,exterieur,moto,non,bon,1914000
Isoraka,48,1,exterieur,sans,non,moyen,1067000
Ankorondrano,40,1,interieur,voiture_avec_parking,non,bon,2339000
Ankorondrano,58,2,interieur,sans,non,mauvais,1782000
